ID	AFR	EUR	AMR
RP-1847_10038686	2	0	0
RP-1847_10038693	2	0	0
RP-1847_10038754	2	0	0
RP-1847_10038766	2	0	0
RP-1847_10038783	0	1	1
RP-1847_10038916	2	0	0
RP-1847_10038982	0	0	2
RP-1847_10039264	1	1	0
RP-1847_10039284	0	2	0
RP-1847_10039355	0	2	0
RP-1847_10039369	2	0	0
RP-1847_10039402	0	2	0
RP-1847_10039430	2	0	0
RP-1847_10039492	2	0	0
RP-1847_10039585	1	1	0
RP-1847_10039594	0	2	0
RP-1847_10039650	2	0	0
RP-1847_10039653	0	2	0
RP-1847_10039666	0	2	0
RP-1847_10039739	1	1	0
RP-1847_10039747	2	0	0
RP-1847_10039786	2	0	0
RP-1847_10039831	1	1	0
RP-1847_10039840	0	2	0
RP-1847_10039843	0	1	1
RP-1847_10039903	1	1	0
RP-1847_10039924	0	2	0
RP-1847_10039931	2	0	0
RP-1847_10039937	0	2	0
RP-1847_10039938	0	2	0
RP-1847_10039951	2	0	0
RP-1847_10039969	1	1	0
RP-1847_10039977	0	2	0
RP-1847_10039986	2	0	0
RP-1847_10040066	0	0	2
RP-1847_10040070	1	1	0
RP-1847_10040075	0	0	2
RP-1847_10040079	1	1	0
RP-1847_10040096	0	2	0
RP-1847_10040130	2	0	0
RP-1847_10040131	0	0	2
RP-1847_10040134	0	2	0
RP-1847_10040150	2	0	0
RP-1847_10040151	2	0	0
RP-1847_10040173	0	0	2
RP-1847_10040174	0	2	0
RP-1847_10040215	2	0	0
RP-1847_10040234	0	1	1
RP-1847_10040242	2	0	0
RP-1847_10040251	2	0	0
RP-1847_10040264	0	2	0
RP-1847_10040313	2	0	0
RP-1847_10040335	0	2	0
RP-1847_10040405	2	0	0
RP-1847_10040443	2	0	0
RP-1847_10040516	0	2	0
RP-1847_10040679	2	0	0
RP-1847_10040734	2	0	0
RP-1847_10040745	1	1	0
RP-1847_10040851	2	0	0
RP-1847_10040855	2	0	0
RP-1847_10040875	2	0	0
RP-1847_10040879	0	0	2
RP-1847_10040913	0	0	2
RP-1847_10040920	2	0	0
RP-1847_10041002	2	0	0
RP-1847_10041033	0	2	0
RP-1847_10041034	0	2	0
RP-1847_10041059	1	1	0
RP-1847_10041063	2	0	0
RP-1847_10041076	1	1	0
RP-1847_10041124	1	1	0
RP-1847_10041177	2	0	0
RP-1847_10041251	0	2	0
RP-1847_10041402	0	2	0
RP-1847_10041414	0	1	1
RP-1847_10041504	2	0	0
RP-1847_10041509	2	0	0
RP-1847_10041517	0	0	2
RP-1847_10041540	0	2	0
RP-1847_10041543	0	2	0
RP-1847_10041552	0	1	1
RP-1847_10041651	2	0	0
RP-1847_10041689	2	0	0
RP-1847_10041736	2	0	0
